钠钾镁平衡,,,,,,,,,,
序号,名称,规格,碘(mg),钠(mg),钾(mg),镁(mg),钙(mg),锌(mg),铜(mg),硒(ug)
1,新四件套-套餐,60g/3条,4.2,1324,1049,390,,15.5,,114ug
2,新四件套-大白,20g/条,,,257,148,,6,,114ug
3,新四件套-小红,20g/条,4.2,1324,792,242,,9.5,,
4,A版基础全营养素(04版)代灌胶囊,22粒,1.15,0,543,163,50,13,0.5,50ug
5,A版基础全营养素(04版)代灌胶囊,45粒,2.3,,1085,325,100,25,1,100ug
6,A版基础全营养素定制原料粉(04版),15g/条,1.15,0,543,163,50,13,0.5,50ug
7,复合定制vc泡腾电解质营养素,10g/条,,300,600,200,,,,
8,电解质矿物质定制原料(03版),15g/条,1.15,589,543,163,105,15,0.5,
9,微量元素营养素原料粉,1g/天,4.6,,,,,29,2,200ug
10,微量元素营养素代灌胶囊,0.9g/粒,4.1,,,,,26,1.8,180ug
11,柠檬酸镁,1克,,,,160,,,,
12,苏糖酸镁,1克,,,,80,,,,
13,甘氨酸镁,1克,,,,110,,,,
14,五重镁代灌胶囊,0.65g/粒,,,,63,,,,
15,普通盐,1克,,390,,,,,,
16,柠檬酸钾,1克,,,360,,,,,
17,抗坏血酸钠(Vc-钠),1克,,116,,,,,,
18,柠檬酸钙,1克,,,,,200,,,
19,甜梦静息原料粉,1克,,,,43,,,,
20,甜梦静息代灌胶囊,0.55g/粒,,,,23,,,,
21,食用海盐代灌胶囊,1.1g/粒,,429,,,,,,
22,B版基础全营养素定制粉(无B族),15g/袋,1.15,,543,163,50,13,0.5,50ug
